state,SUM(cured),SUM(death),SUM(confirmed)
Maharashtra,963584102,22534416,1064427740
Karnataka,416155734,5723143,459735683
Kerala,390311164,1730808,427313974
Tamil Nadu,381444416,5608369,408786439
Andhra Pradesh,352926995,2817970,374631235
Uttar Pradesh,276311742,3938519,297247727
Delhi,260720476,4717732,274298085
West Bengal,233983721,3683145,249317376
Chhattisgarh,142720847,1942099,154749830
Rajasthan,141855381,1392503,153785608
Odisha,142222495,734106,151269645
Gujarat,125154726,2128759,135995074
Madhya Pradesh,119693579,1683129,128497899
Haryana,119748022,1415983,127416925
Bihar,118686813,1006656,125705196
Assam,87681240,590113,94685693
Punjab,86214801,2638818,94555404
Telengana,64666267,400427,69990668
Jharkhand,54956663,702475,58985998
Jammu and Kashmir,50448423,800215,55217287
Telangana,51765173,315273,54737373
Uttarakhand,45352640,919703,50059393
Himachal Pradesh,25682141,459573,28166667
Goa,24519277,419386,26694923
Puducherry,17414461,295970,18973138
Tripura,12287616,143460,13331258
Manipur,10395606,158427,11692893
Chandigarh,9566842,140395,10300873
Meghalaya,5983682,91642,6743891
Arunachal Pradesh,6170728,24646,6730183
Maharashtra***,6000911,130753,6229596
Nagaland,4281131,53229,4785970
Ladakh,3578014,43941,3870882
Sikkim,2530368,49983,2938742
Karanataka,2821491,36197,2885238
Mizoram,2109700,8331,2594668
Andaman and Nicobar Islands,1781610,25975,1870612
Dadra and Nagar Haveli and Daman and Diu,1746014,978,1842763
Bihar****,1402468,18881,1430909
Lakshadweep,729839,3457,823634
Madhya Pradesh***,780735,10506,791656
Cases being reassigned to states,0,0,345565
Himanchal Pradesh,200040,3507,204516
Dadra and Nagar Haveli,20352,8,20722
Unassigned,0,0,161
Daman & Diu,0,0,2
