state,covaxin_adminstrated,covishield_adminstrated,sputnik_adminstrated
Andaman and Nicobar Islands,0,11296006,0
Andhra Pradesh,155998977,753363528,230688
Arunachal Pradesh,1820,33778691,0
Assam,68953907,313925975,1317
Bihar,77972516,902049317,5114
Chandigarh,20089,30969272,0
Chhattisgarh,20137520,593696922,3131
Dadra and Nagar Haveli and Daman and Diu,216,18244317,0
Delhi,139775575,343431470,57494
Goa,625054,49361534,0
Gujarat,190944782,1471653056,2681
Haryana,72959714,462109115,51705
Himachal Pradesh,25713,224286633,41158
India,2204448108,18160886892,1794542
Jammu and Kashmir,4041629,293261749,0
Jharkhand,53348766,371558101,9048
Karnataka,136080860,1182850587,90348
Kerala,64541503,867496055,9387
Ladakh,910,14749455,0
Lakshadweep,75,3259807,0
Madhya Pradesh,133147945,1013956777,1105
Maharashtra,240073678,1850467667,89117
Manipur,743,40369406,0
Meghalaya,2275,41375617,0
Mizoram,137,31380797,0
Nagaland,3736,27598490,0
Odisha,73242639,685309240,2392
Puducherry,7808,27080340,0
Punjab,36769861,376830756,14674
Rajasthan,128966784,1531126826,16726
Sikkim,3239,25856288,0
Tamil Nadu,131944496,732273281,26505
Telangana,96803545,506506123,1049033
Tripura,1187646,155840420,0
Uttar Pradesh,207119612,1623684578,8385
Uttarakhand,7614733,265656704,0
West Bengal,161606268,1278797524,84534
