state,18_to_45,45_to_60,60_above
Andaman and Nicobar Islands,2014683,5234554,2696998
Andhra Pradesh,148205485,342124710,241617471
Arunachal Pradesh,11489674,11219008,4468580
Assam,100508019,139567832,77136275
Bihar,227218424,283446744,321602879
Chandigarh,8220460,9912532,7268211
Chhattisgarh,69179948,274437633,176202916
Dadra and Nagar Haveli and Daman and Diu,8658141,5178549,2145576
Delhi,134225914,150736576,102577661
Goa,12854907,15317999,14146061
Gujarat,352028464,531225645,461780586
Haryana,131183002,159267718,170413451
Himachal Pradesh,34533799,83839534,73479250
India,4087383597,6843593047,6033068085
Jammu and Kashmir,50372796,118317323,81704936
Jharkhand,98604042,135734439,126206954
Karnataka,264855867,448678577,402411322
Kerala,120515820,279139023,368215283
Ladakh,4593900,3762192,3397665
Lakshadweep,920758,1133189,650179
Madhya Pradesh,300681489,368875587,322144964
Maharashtra,366429893,726275092,655284665
Manipur,14084338,12742154,6239030
Meghalaya,13841293,14041529,6461820
Mizoram,8705646,10696152,7152857
Nagaland,9981919,8211700,4503554
Odisha,121312023,256122511,256564139
Puducherry,8490703,8539020,6387111
Punjab,84647786,150609001,123483591
Rajasthan,289754292,524262218,579614632
Sikkim,6704222,8601567,5797497
Tamil Nadu,232419371,280412533,204337426
Telangana,134349989,226173954,153311943
Tripura,25533297,60968720,34326767
Uttar Pradesh,388930529,627197047,512970272
Uttarakhand,55125751,85352754,80855319
West Bengal,240959203,473836754,434432057
